Día,Tiempo esperado total,Tiempo minimo esperado,Tiempo maximo esperado,Parqueos Libres,Carros sin antender,Almorzaron,Cantidad alumnos,Cantidad parqueos,Salidas por periodos libres,Parametros
0,3060,10,350,0,2,0,40,25,3,"{'yellow': 4, 'orange': 16, 'red': 4, 'skyblue': 16}"
0,4190,20,350,0,5,0,44,25,5,"{'yellow': 4, 'orange': 18, 'red': 4, 'skyblue': 18}"
0,4920,20,350,0,5,0,46,25,5,"{'yellow': 4, 'orange': 19, 'red': 4, 'skyblue': 19}"
0,8730,30,690,0,11,0,52,25,5,"{'yellow': 5, 'orange': 21, 'red': 5, 'skyblue': 21}"
0,11940,40,690,0,14,0,54,25,5,"{'yellow': 5, 'orange': 22, 'red': 5, 'skyblue': 22}"
0,16740,50,890,0,16,0,60,25,5,"{'yellow': 6, 'orange': 24, 'red': 6, 'skyblue': 24}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 10, 'red': 3, 'skyblue': 8}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 11, 'red': 4, 'skyblue': 10}"
0,340,20,140,0,0,0,31,25,2,"{'yellow': 3, 'orange': 13, 'red': 4, 'skyblue': 11}"
0,860,20,250,0,1,0,34,25,3,"{'yellow': 3, 'orange': 14, 'red': 5, 'skyblue': 12}"
0,2400,10,350,0,2,0,40,25,3,"{'yellow': 4, 'orange': 16, 'red': 6, 'skyblue': 14}"
0,3350,20,350,0,2,0,43,25,4,"{'yellow': 4, 'orange': 18, 'red': 6, 'skyblue': 15}"
0,4580,20,350,0,2,0,47,25,4,"{'yellow': 4, 'orange': 19, 'red': 7, 'skyblue': 17}"
0,6260,30,410,0,9,0,51,25,4,"{'yellow': 5, 'orange': 21, 'red': 7, 'skyblue': 18}"
0,9990,40,690,0,12,0,54,25,5,"{'yellow': 5, 'orange': 22, 'red': 8, 'skyblue': 19}"
0,13930,40,690,0,14,0,60,25,5,"{'yellow': 6, 'orange': 24, 'red': 9, 'skyblue': 21}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 10, 'red': 5, 'skyblue': 7}"
0,0,0,0,1,0,0,26,25,1,"{'yellow': 2, 'orange': 11, 'red': 5, 'skyblue': 8}"
0,60,20,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 13, 'red': 6, 'skyblue': 9}"
0,580,10,140,0,0,0,35,25,3,"{'yellow': 3, 'orange': 14, 'red': 7, 'skyblue': 11}"
0,1610,20,350,0,2,0,40,25,4,"{'yellow': 4, 'orange': 16, 'red': 8, 'skyblue': 12}"
0,2820,20,350,0,2,0,44,25,4,"{'yellow': 4, 'orange': 18, 'red': 9, 'skyblue': 13}"
0,3570,20,350,0,1,0,46,25,4,"{'yellow': 4, 'orange': 19, 'red': 9, 'skyblue': 14}"
0,4890,30,350,0,1,0,51,25,4,"{'yellow': 5, 'orange': 21, 'red': 10, 'skyblue': 15}"
0,9330,40,690,0,11,0,55,25,5,"{'yellow': 5, 'orange': 22, 'red': 11, 'skyblue': 17}"
0,11980,40,690,0,12,0,60,25,5,"{'yellow': 6, 'orange': 24, 'red': 12, 'skyblue': 18}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 10, 'red': 6, 'skyblue': 6}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 11, 'red': 7, 'skyblue': 7}"
0,70,10,20,0,0,0,32,25,3,"{'yellow': 3, 'orange': 13, 'red': 8, 'skyblue': 8}"
0,290,10,130,0,0,0,35,25,3,"{'yellow': 3, 'orange': 14, 'red': 9, 'skyblue': 9}"
0,970,20,160,0,1,0,40,25,4,"{'yellow': 4, 'orange': 16, 'red': 10, 'skyblue': 10}"
0,2210,20,350,0,1,0,44,25,4,"{'yellow': 4, 'orange': 18, 'red': 11, 'skyblue': 11}"
0,2980,20,350,0,1,0,47,25,4,"{'yellow': 4, 'orange': 19, 'red': 12, 'skyblue': 12}"
0,4530,30,370,0,5,0,52,25,5,"{'yellow': 5, 'orange': 21, 'red': 13, 'skyblue': 13}"
0,6270,30,610,0,5,0,55,25,5,"{'yellow': 5, 'orange': 22, 'red': 14, 'skyblue': 14}"
0,9630,30,690,0,7,0,60,25,4,"{'yellow': 6, 'orange': 24, 'red': 15, 'skyblue': 15}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 10, 'red': 7, 'skyblue': 5}"
0,0,0,0,1,0,0,26,25,1,"{'yellow': 2, 'orange': 11, 'red': 8, 'skyblue': 5}"
0,50,10,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 13, 'red': 9, 'skyblue': 6}"
0,150,10,30,0,0,0,35,25,3,"{'yellow': 3, 'orange': 14, 'red': 11, 'skyblue': 7}"
